,smiles,MP
147,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,-14.0
148,CC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,39.0
149,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,9.0
150,CC[n+]1ccn(C)c1.N#C[S-],-6.0
151,CCn1cc[nH+]c1C.[Br-],144.0
152,CCn1cc[nH+]c1C.[O-][Cl+3]([O-])([O-])[O-],7.0
153,CCn1cc[nH+]c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-19.0
154,CCn1cc[nH+]c1C.O=[N+]([O-])[O-],75.0
155,CCn1cc[nH+]c1C.O=S(=O)([O-])C(F)(F)F,33.0
156,Cn1cc[n+](CC(F)(F)F)c1.O=S(=O)([O-])C(F)(F)F,45.0
157,CCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,23.0
158,CCC[n+]1ccn(C)c1.[Cl-],60.0
159,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,-17.0
160,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,-21.0
161,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,-5.0
162,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-12.0
163,CCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,34.0
164,CCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,40.0
165,CC(C)[n+]1ccn(C)c1.[I-],114.0
166,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,16.0
167,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,29.0
168,CC(C)[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,102.0
169,COCC[n+]1ccn(C)c1.[Cl-],67.0
170,COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,2.0
171,COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,-9.0
172,COCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,27.0
173,COCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,26.0
174,CCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,104.0
175,CCCC[n+]1ccn(C)c1.C[Si](C)(CCC(F)(F)F)c1ccc([B-](c2ccc([Si](C)(C)CCC(F)(F)F)cc2)(c2ccc([Si](C)(C)CCC(F)(F)F)cc2)c2ccc([Si](C)(C)CCC(F)(F)F)cc2)cc1,104.0
176,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-9.0
177,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,-6.0
178,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,16.0
179,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,20.0
180,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])OCCCC(F)(F)C(F)(F)F,-15.0
181,CC(=O)[O-].CCCC[n+]1ccn(C)c1,-20.0
182,CCCC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,-10.0
183,CCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,82.0
184,CCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-9.0
185,CCCCC[n+]1ccn(C)c1.O=C1[N-]S(=O)(=O)c2ccccc21,64.0
186,CCCC[n+]1ccn(CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-8.0
187,CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)F,2.0
188,CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,21.0
189,CCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,82.0
190,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,-10.0
191,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-7.0
192,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,29.0
193,CCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,69.0
