,MP,error,smiles
140,70.45000000000005,1.1,Cc1ccc[n+](CC(=O)Nc2ccc(C)c(F)c2)c1.F[P-](F)(F)(F)(F)F
141,53.450000000000045,1.1,Cc1cc[n+](CC(=O)Nc2ccc(I)cc2F)cc1.F[P-](F)(F)(F)(F)F
142,-7.149999999999977,2.0,CC[n+]1ccn(C)c1.N#C[N-]C#N
143,55.25,1.1,CCCCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCCCC.[Cl-]
144,12.75,1.1,CCCCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
145,40.75,1.1,CCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCC.[Cl-]
146,-0.75,1.1,CCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
147,72.95000000000005,2.0,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]
148,63.950000000000045,2.0,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F
149,68.95000000000005,2.0,CCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]
150,63.950000000000045,2.0,CCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]
151,60.950000000000045,2.0,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]
152,59.950000000000045,2.0,CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]
153,65.95000000000005,2.0,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]
154,69.95000000000005,2.0,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F
155,67.95000000000005,2.0,CCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F
156,55.950000000000045,2.0,CCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F
157,59.950000000000045,2.0,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F
158,57.950000000000045,2.0,CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F
159,57.950000000000045,2.0,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F
160,81.95000000000005,2.0,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F
161,61.950000000000045,2.0,CCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F
162,60.950000000000045,2.0,CCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F
163,54.950000000000045,2.0,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F
164,49.950000000000045,2.0,CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F
165,18.30000000000001,0.4,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
166,10.950000000000045,2.0,C=CC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
167,-32.94999999999999,2.0,C=CC[N+](C)(C)CC.N#C[N-]C#N
168,-11.049999999999955,2.0,C=CC[N+](C)(C)CC.O=S(=O)([O-])C(F)(F)F
169,8.450000000000045,1.2,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
170,-9.549999999999955,1.1,CC[n+]1ccn(C)c1.N#C[N-]C#N
171,8.950000000000045,1.1,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
172,25.950000000000045,2.0,Fc1cccc[nH+]1.O=S(=O)([O-])C(F)(F)F
173,-9.149999999999977,2.0,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F
174,5.850000000000023,2.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
175,-9.149999999999977,2.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
176,2.8500000000000227,2.0,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
177,12.850000000000023,2.0,COCC[N+]1(C)CCCC1.F[B-](F)(F)F
178,33.85000000000002,2.0,COCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F
179,1.8500000000000227,2.0,COCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F
180,18.850000000000023,2.0,CCCC[N+]1(C)CCCC1.O=S1(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C1(F)F
181,-45.14999999999998,2.0,CCCC[N+]1(C)CCCC1.N#C[N-]C#N
182,117.75,5.0,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
183,53.650000000000034,5.0,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
184,30.650000000000034,5.0,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
185,38.75,5.0,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
186,51.25,5.0,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
187,97.20000000000005,0.5,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
188,102.25,5.0,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F
189,92.75,5.0,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F
190,76.25,5.0,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F
191,67.65000000000003,5.0,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F
192,65.25,5.0,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F
193,46.25,5.0,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
194,104.25,5.0,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F
195,28.75,5.0,CCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
196,78.30000000000001,0.5,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F
197,101.65000000000003,1.3,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
198,101.75,0.4,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
199,101.85000000000002,1.0,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
200,101.95000000000005,1.1,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
201,97.45000000000005,8.1,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-]
202,101.95000000000005,1.1,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
203,101.65000000000003,1.1,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
204,101.85000000000002,1.1,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
205,102.75,1.3,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-]
206,216.95000000000005,0.5,CCCC[N+](CC)(CC)CC.[Br-]
207,216.87,0.7,CCCC[N+](CC)(CC)CC.[Br-]
208,103.68,0.7,CCCC[n+]1ccccc1.[Br-]
209,240.67000000000007,0.7,CCCC[N+]1(C)CCCCC1.[Br-]
210,109.24000000000001,0.7,CC[N+]1(C)CCCCC1.[Br-]
211,62.450000000000045,1.1,CCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCO)c1
212,52.650000000000034,1.1,CCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCO)c1
213,60.75,1.1,CCCCCCCCCCCCCCCCCC(=O)[O-].CC[n+]1ccn(C)c1
214,53.75,1.1,CCCCCCCCCCCCCCCC(=O)[O-].CC[n+]1ccn(C)c1
215,66.25,1.1,CCCCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCO)c1
216,50.950000000000045,1.1,CCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCCO)c1
217,58.25,1.1,CCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCCO)c1
218,65.65000000000003,1.1,CCCCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCCO)c1
219,45.25,1.1,CCCCCCCCCCCCCC(=O)[O-].CC[n+]1ccn(C)c1
220,64.95000000000005,5.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCC[n+]1ccn(CCn2cc[n+](CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
221,16.950000000000045,5.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCC[n+]1ccn(CCCCCCCCCCn2cc[n+](CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
222,79.85000000000002,0.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCCn1cc[n+](CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
223,46.950000000000045,5.0,Cn1cc[n+](CC(CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
